                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4482,                 2.1894,                 1.8788,                0.01943,                0.11944,                0.00838,                0.00218,                 3.5798,                 38.658,                 16.353,             0.00055276,             0.00055276,             0.00055276
                      2,                 1.7715,                 2.3039,                 2.1841,                0.04665,                0.16376,                0.01256,                0.00319,                 3.3048,                 9.2694,                  4.567,             0.00099869,             0.00099869,             0.00099869
                      3,                 1.6109,                 1.9922,                 2.0223,                0.45162,                0.39413,                0.27969,                0.18433,                 1.8529,                 3.4402,                 2.5751,              0.0013346,              0.0013346,              0.0013346
                      4,                 1.4306,                 1.7298,                 1.8475,                0.56762,                0.35114,                0.39137,                0.25392,                 1.7202,                 2.6501,                  2.179,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.2646,                 1.4626,                 1.6947,                0.57745,                0.36755,                0.42811,                0.28874,                 1.5895,                 2.0722,                 2.0152,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.1319,                  1.296,                 1.5638,                0.65796,                0.39179,                0.47374,                0.32642,                 1.5567,                 1.8033,                 2.0719,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.0588,                 1.1572,                 1.5048,                0.74011,                0.59995,                0.70056,                0.52024,                 1.0748,                 1.2804,                 1.4597,              0.0006768,              0.0006768,              0.0006768
                      8,                0.95667,                 1.0339,                 1.4145,                0.83247,                0.69179,                0.78933,                0.58079,                 1.0224,                 1.0471,                 1.3997,             0.00051177,             0.00051177,             0.00051177
                      9,                 0.8954,                0.94926,                 1.3587,                0.84643,                0.71355,                0.82013,                  0.633,                0.91625,                0.91081,                 1.3182,             0.00034674,             0.00034674,             0.00034674
                     10,                0.82747,                0.83805,                 1.3192,                0.85556,                0.74077,                0.83275,                0.66238,                0.82886,                0.84319,                 1.2432,              0.0001817,              0.0001817,              0.0001817
